rank,source,title,reward,currency,payment_type,estimated_hours,payment_probability,execution_probability,eligibility_probability,receipt_probability,expected_receivable_value,revenue_velocity,direct_executability_score,queue_priority,requires_human_action,status,url,source_file,source_row,generated_at
204,devpost_api_verified,Dev Clash,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://dev-clash.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,143,2026-07-17T19:32:33.520417+00:00
205,devpost_api_verified,Global Tech Innovation Challenge,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://global-tech-challenge.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,144,2026-07-17T19:32:33.521416+00:00
206,devpost_api_verified,Recruit Holdings Hackathon “Innovation Cup”,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://innovation-cup2026.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,145,2026-07-17T19:32:33.521416+00:00
207,devpost_api_verified,Cyber Hawk Hack Days,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://cyber-hawk-hackathon.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,146,2026-07-17T19:32:33.521416+00:00
208,devpost_api_verified,Hoya Hacks 2027,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://hoya-hacks-2027.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,147,2026-07-17T19:32:33.521416+00:00
209,devpost_api_verified,GoatHacks 2027,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://goathacks-2027.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,148,2026-07-17T19:32:33.521416+00:00
210,devpost_api_verified,Knight Hacks IX,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://knight-hacks-ix.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,149,2026-07-17T19:32:33.522416+00:00
211,devpost_api_verified,&HACKS XII,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://hacks-xii.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,150,2026-07-17T19:32:33.522416+00:00
212,devpost_api_verified,Kent Hack Enough 2027,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://khe-2027.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,151,2026-07-17T19:32:33.522416+00:00
213,devpost_api_verified,HackCamp 2026,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://hackcamp-2026.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,152,2026-07-17T19:32:33.522416+00:00
214,devpost_api_verified,HackPSU Fall 2026,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://hackpsu-fall-2026.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,153,2026-07-17T19:32:33.523416+00:00
215,devpost_api_verified,"Daytona HackSprint w/ Braintrust - SF, July 2026",0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://daytona-hacksprint-sf-jul-2026.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,154,2026-07-17T19:32:33.523416+00:00
216,devpost_api_verified,HackDays Delhi,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://hackdays-delhi.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,155,2026-07-17T19:32:33.523416+00:00
217,devpost_api_verified,Esri's Weekend of Innovation 2026,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://esri-woi-2026.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,156,2026-07-17T19:32:33.523416+00:00
218,devpost_api_verified,"Build with AI extended : Build, automate, impact",0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://build-with-ai-extended.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,157,2026-07-17T19:32:33.524416+00:00
219,devpost_api_verified,Garuda Hacks 7.0,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://gh7.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,158,2026-07-17T19:32:33.524416+00:00
220,devpost_api_verified,TEL: Spatial Intelligence Ideathon,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://spatial-intelligence-ideathon.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,159,2026-07-17T19:32:33.524416+00:00
221,devpost_api_verified,MelonJam 7,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://melonjam-7.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,160,2026-07-17T19:32:33.524416+00:00
222,devpost_api_verified,Hackathon New Delhi: Build AI Agents,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://hackathon-elk-gcp.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,161,2026-07-17T19:32:33.525416+00:00
223,devpost_api_verified,757 BLD WKND 2026 2.0,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://757-bld-wknd-2026-2-0.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,162,2026-07-17T19:32:33.525416+00:00
224,devpost_api_verified,Horizon STEM Hackthon,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://horizon-stem-hackthon.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,163,2026-07-17T19:32:33.525416+00:00
225,devpost_api_verified,Vibe Code Animated Maps,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://vibecode-animated-maps.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,164,2026-07-17T19:32:33.525416+00:00
226,devpost_api_verified,WWU Social Justice Hackathon,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://wwu-sj-hack.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,165,2026-07-17T19:32:33.526416+00:00
227,devpost_api_verified,AI Hackathon 2026 by LA Hacks,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://la-ai-hackathon-2026.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,166,2026-07-17T19:32:33.526416+00:00
228,devpost_api_verified,Midnight Hackathon,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://midnight-hackathon-july-2026.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,167,2026-07-17T19:32:33.526416+00:00
229,devpost_api_verified,Hack Days Nashik,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://hack-days-nashik.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,168,2026-07-17T19:32:33.526416+00:00
230,devpost_deep_enriched,Global AI Hackathon Series with Qwen Cloud,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://qwencloud-hackathon.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_deep_enriched.csv,2,2026-07-17T19:32:33.560410+00:00
231,devpost_deep_enriched,YouCam API Skin AI & Apparel VTO Hackathon,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://youcam-api.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_deep_enriched.csv,3,2026-07-17T19:32:33.560410+00:00
232,devpost_deep_enriched,Arm Create: AI Optimization Challenge,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://arm-ai-optimization-challenge.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_deep_enriched.csv,4,2026-07-17T19:32:33.560410+00:00
233,devpost_deep_enriched,Build with DataHub: The Agent Hackathon,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://datahub.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_deep_enriched.csv,5,2026-07-17T19:32:33.560410+00:00
234,devpost_deep_enriched,CockroachDB × AWS Hackathon - Build with Agentic Memory,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://cockroachdb-ai.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_deep_enriched.csv,6,2026-07-17T19:32:33.560410+00:00
235,devpost_deep_enriched,Africa Deep Tech Challenge 2026,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://adtc-2026.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_deep_enriched.csv,7,2026-07-17T19:32:33.560410+00:00
236,devpost_deep_enriched,Backblaze Generative Media Hackathon: Build with Genblaze on B2,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://backblaze-generative-media.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_deep_enriched.csv,8,2026-07-17T19:32:33.561409+00:00
237,devpost_deep_enriched,Build with Gemini XPRIZE,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://xprize.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_deep_enriched.csv,9,2026-07-17T19:32:33.561409+00:00
238,devpost_deep_enriched,OpenAI Build Week,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://openai.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_deep_enriched.csv,10,2026-07-17T19:32:33.561409+00:00
239,devpost_due_diligence_queue,Build with Gemini XPRIZE,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://xprize.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_due_diligence_queue.csv,2,2026-07-17T19:32:33.599404+00:00
240,devpost_due_diligence_queue,The Rice University Urban Sustainability Hackathon,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://rice-urban-sustainability.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_due_diligence_queue.csv,3,2026-07-17T19:32:33.599404+00:00
241,devpost_due_diligence_queue,Open Atlas - AI for Social Good Hackathon 2026,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://oa-ai-for-social-good.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_due_diligence_queue.csv,4,2026-07-17T19:32:33.600403+00:00
242,devpost_due_diligence_queue,Galuxium Nexus V2,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://galuxium-nexus-v2-29411.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_due_diligence_queue.csv,5,2026-07-17T19:32:33.600403+00:00
243,devpost_due_diligence_queue,Brainwave 2026 – X402 Blockchain Track,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://brainwave-2026.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_due_diligence_queue.csv,6,2026-07-17T19:32:33.600403+00:00
244,devpost_due_diligence_queue,INNOVIK 6.0 : International Hackathon 2026,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://innovik-6-0-hackathon-2026.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_due_diligence_queue.csv,7,2026-07-17T19:32:33.600403+00:00
245,devpost_hackathons,Global AI Hackathon Series with Qwen Cloud,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://qwencloud-hackathon.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_hackathons.csv,2,2026-07-17T19:32:33.675391+00:00
246,devpost_hackathons,YouCam API Skin AI & Apparel VTO Hackathon,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://youcam-api.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_hackathons.csv,3,2026-07-17T19:32:33.676390+00:00
247,devpost_hackathons,Arm Create: AI Optimization Challenge,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://arm-ai-optimization-challenge.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_hackathons.csv,4,2026-07-17T19:32:33.676390+00:00
248,devpost_hackathons,Build with DataHub: The Agent Hackathon,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://datahub.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_hackathons.csv,5,2026-07-17T19:32:33.676390+00:00
249,devpost_hackathons,CockroachDB × AWS Hackathon - Build with Agentic Memory,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://cockroachdb-ai.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_hackathons.csv,6,2026-07-17T19:32:33.676390+00:00
250,devpost_hackathons,Africa Deep Tech Challenge 2026,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://adtc-2026.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_hackathons.csv,7,2026-07-17T19:32:33.676390+00:00
251,devpost_hackathons,Backblaze Generative Media Hackathon: Build with Genblaze on B2,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://backblaze-generative-media.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_hackathons.csv,8,2026-07-17T19:32:33.676390+00:00
252,devpost_hackathons,Build with Gemini XPRIZE,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://xprize.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_hackathons.csv,9,2026-07-17T19:32:33.677390+00:00
253,devpost_hackathons,OpenAI Build Week,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://openai.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_hackathons.csv,10,2026-07-17T19:32:33.677390+00:00
254,gemini_xprize_project_candidates,Revenue Rescue AI,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\gemini_xprize_project_candidates.csv,2,2026-07-17T19:32:33.815366+00:00
255,gemini_xprize_project_candidates,Proposal Factory AI,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\gemini_xprize_project_candidates.csv,3,2026-07-17T19:32:33.815366+00:00
256,gemini_xprize_project_candidates,Invoice Recovery AI,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\gemini_xprize_project_candidates.csv,4,2026-07-17T19:32:33.815366+00:00
257,gemini_xprize_project_candidates,Local Growth Operator,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\gemini_xprize_project_candidates.csv,5,2026-07-17T19:32:33.815366+00:00
258,gemini_xprize_project_candidates,CashFlow Guard AI,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\gemini_xprize_project_candidates.csv,6,2026-07-17T19:32:33.815366+00:00
259,github_deep_verified_queue,Calculate the exact value of PI,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/xevrion-v2/agent-playground/issues/17,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\github_deep_verified_queue.csv,2,2026-07-17T19:32:33.847360+00:00
260,github_deep_verified_queue,[ Bounty $3k ] [ Research ] Collect and compare AI-generated AGI architecture proposals,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/aLexzzz430/Cognitive-OS/issues/5,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\github_deep_verified_queue.csv,3,2026-07-17T19:32:33.847360+00:00
261,github_deep_verified_queue,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/Vikingr2023/awesome-agent-bounties/issues/167,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\github_deep_verified_queue.csv,4,2026-07-17T19:32:33.847360+00:00
262,github_deep_verified_queue,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/Vikingr2023/awesome-agent-bounties/issues/52,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\github_deep_verified_queue.csv,5,2026-07-17T19:32:33.847360+00:00
263,github_deep_verified_queue,[2 USDC autonomous bounty] Complete an independent-relayer paid loop,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/NSPG13/agent-bounties/issues/250,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\github_deep_verified_queue.csv,6,2026-07-17T19:32:33.847360+00:00
264,github_deep_verified_queue,Grant Application - Educating Communities by Educating Their Leaders,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/356,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\github_deep_verified_queue.csv,7,2026-07-17T19:32:33.847360+00:00
265,github_deep_verified_queue,senddigidollar: integer-vs-decimal amount ambiguity is a 100× footgun,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/DigiByte-Core/digibyte/issues/424,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\github_deep_verified_queue.csv,8,2026-07-17T19:32:33.848360+00:00
266,github_deep_verified_queue,[BOUNTY $100] 🐜The Memanto Bug & Exploit Challenge,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/moorcheh-ai/memanto/issues/770,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\github_deep_verified_queue.csv,9,2026-07-17T19:32:33.848360+00:00
267,github_deep_verified_queue,Support actual payment amount confirmation and rate-shift tracking for foreign scheduled expenses,0.0,EUR,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/pedrazamiguez/split-trip/issues/1400,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\github_deep_verified_queue.csv,10,2026-07-17T19:32:33.848360+00:00
268,github_deep_verified_queue,[UNFUNDED: 0/2.01 USDC] Complete a machine-API paid loop,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/NSPG13/agent-bounties/issues/249,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\github_deep_verified_queue.csv,11,2026-07-17T19:32:33.848360+00:00
269,github_deep_verified_queue,[2 USDC autonomous bounty] Complete a browser-wallet paid loop,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/NSPG13/agent-bounties/issues/248,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\github_deep_verified_queue.csv,12,2026-07-17T19:32:33.848360+00:00
270,remotive,Tech Lead Full-Stack Rails Engineer,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,2,2026-07-17T19:32:33.884354+00:00
271,remoteok,Supply Chain Systems Analyst,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-supply-chain-systems-analyst-wing-1134803,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,3,2026-07-17T19:32:33.884354+00:00
272,remoteok,Customer Success Manager Enterprise,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-customer-success-manager-enterprise-pointclickcare-1134869,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,4,2026-07-17T19:32:33.884354+00:00
