rank,queue_status,verification_score,priority_score,title,category,source,url,reward_amount,reward_currency,payment_method,difficulty,estimated_hours,risk_level,country_eligibility,country_restrictions,kyc_required,human_approval_required,verification_status,recommended_action,recommendation_reason,verified_at
326,BLOCKED_NOT_EXECUTABLE,0.0,0.0,MCP `factor_analysis` always fails with `KeyError: 'factor_csv'` — wrapper and registered tool have mismatched contracts,open_source_bounty,GitHub Paid Issues,https://github.com/HKUDS/Vibe-Trading/issues/635,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:35.258392+00:00
327,BLOCKED_NOT_EXECUTABLE,0.0,0.0,[RFC] First-class support and reference implementation for out-of-tree backends,open_source_bounty,GitHub Paid Issues,https://github.com/pytorch/executorch/issues/20975,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:33.918071+00:00
328,BLOCKED_NOT_EXECUTABLE,0.0,0.0,knowledge_rebuild_from_wal leaves entity/relationship search empty until knowledge_build_indices is called,open_source_bounty,GitHub Paid Issues,https://github.com/verveguy/liminis-context-graph/issues/192,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:32.805314+00:00
329,BLOCKED_NOT_EXECUTABLE,0.0,0.0,[Q-CONTROL-PLANE-PR-BODY-PROFILES-01] Canonicalize repository-aware PR body templates,open_source_bounty,GitHub Paid Issues,https://github.com/2tbmz9y2xt-lang/rubin-protocol/issues/2503,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,1,1,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:31.579325+00:00
330,BLOCKED_NOT_EXECUTABLE,0.0,0.0,🚨 Zero Day Pulse — Active Vulnerability Tracker,open_source_bounty,GitHub Paid Issues,https://github.com/peleduri/zero-day-pulse/issues/7,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:30.476066+00:00
331,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Feature: Add Interactive Dashboard UI for Job Review in Assessment Workflow,open_source_bounty,GitHub Paid Issues,https://github.com/pluto-atom-4/ats-showcase/issues/137,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:28.894288+00:00
332,BLOCKED_NOT_EXECUTABLE,0.0,0.0,CoWSwap Integration Improvements,open_source_bounty,GitHub Paid Issues,https://github.com/devpool-directory/devpool-directory/issues/5954,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:27.555426+00:00
333,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Renovate Dashboard 🤖,open_source_bounty,GitHub Paid Issues,https://github.com/krezh/dextek/issues/14,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:26.259573+00:00
334,BLOCKED_LINK_INACTIVE,0.0,0.0,Customer Success Manager (Europe) (Remote),paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/weflow/customer-success-manager-europe-remote-berlin-414783,0.0,,,média,30.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T19:13:25.003219+00:00
335,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Software development Frontend Developer,paid_development,Remote OK,https://remoteOK.com/remote-jobs/remote-software-developmentfrontend-developer-defdone-1134928,0.0,,,média,30.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:23.763649+00:00
336,BLOCKED_LINK_INACTIVE,0.0,0.0,Talent Acquisition Partner,paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/sumup/talent-acquisition-partner-berlin-405782,0.0,,,média,30.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T19:13:23.272037+00:00
337,BLOCKED_LINK_INACTIVE,0.0,0.0,Programme Manager - Election Integrity Task Force (EITF),paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/global-media-registry/programme-manager-election-integrity-task-force-eitf-berlin-332613,0.0,,,alta,80.0,alto,UNKNOWN_REVIEW_REQUIRED,open to remote or hybrid arrangements within UTC±2 time zone,0,1,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T19:13:22.048758+00:00
338,BLOCKED_LINK_INACTIVE,0.0,0.0,Senior ERP Consultant @MYTHERESA (f/m/d),paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/mytheresa/senior-erp-consultant-at-mytheresa-munich-304978,0.0,,,alta,80.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T19:13:20.912747+00:00
339,BLOCKED_NOT_EXECUTABLE,0.0,0.0,"Engineering Manager, Search Engine (all genders)",paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/distribusion-technologies/engineering-manager-search-engine-all-genders-berlin-247347,0.0,,,média,30.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:19.691366+00:00
340,BLOCKED_LINK_INACTIVE,0.0,0.0,"Senior Engineering Manager, Supply Domain (all genders)",paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/distribusion-technologies/senior-engineering-manager-supply-domain-all-genders-berlin-309048,0.0,,,alta,80.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T19:13:18.990475+00:00
341,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Head of Google Shopping & Amazon Commerce - Feeds & Marketplaces (m/w/d) - 100% remote,paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/hurracom/head-of-google-shopping-amazon-commerce-feeds-marketplaces-100-remote-stuttgart-75216,0.0,,,alta,80.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:17.749957+00:00
342,BLOCKED_NOT_EXECUTABLE,0.0,0.0,"Principal Governance, Risk and Compliance (GRC) Architect",paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/simscale-gmbh/principal-governance-risk-and-compliance-grc-architect-munich-313642,0.0,,,alta,80.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:16.688309+00:00
343,BLOCKED_LINK_INACTIVE,0.0,0.0,Senior Performance Marketing Manager / Media Buyer Meta (m/w/d),paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/vital-growth-ug-haftungsbeschrankt/senior-performance-marketing-manager-media-buyer-meta-monheim-am-rhein-309174,0.0,,,média,30.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T19:13:15.843583+00:00
344,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Werkstudent*in (m/w/d) KI-Video & Social Ads Editor,paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/tiger-media-deutschland-gmbh/werkstudentin-ki-video-social-ads-editor-hamburg-313240,0.0,,,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:14.628967+00:00
345,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Dependency Dashboard,open_source_bounty,GitHub Paid Issues,https://github.com/kyma-project/test-infra/issues/13446,0.0,,GitHub Sponsors,média,30.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:13.735050+00:00
346,BLOCKED_NOT_EXECUTABLE,0.0,0.0,[BUG] Instantly hitting usage limits with Max subscription,open_source_bounty,GitHub Paid Issues,https://github.com/anthropics/claude-code/issues/16157,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:12.711011+00:00
347,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Renovate Dashboard 🤖,open_source_bounty,GitHub Paid Issues,https://github.com/mrdynamo/home-ops/issues/1286,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:11.066576+00:00
348,BLOCKED_LINK_INACTIVE,0.0,0.0,Persist payment before receipt fulfillment,open_source_bounty,GitHub Paid Issues,https://github.com/ddannyc/table-order/issues/16,0.0,,GitHub Sponsors,baixa,8.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T19:13:09.967356+00:00
349,BLOCKED_LINK_INACTIVE,0.0,0.0,Assign and show Pickup Numbers to customers,open_source_bounty,GitHub Paid Issues,https://github.com/ddannyc/table-order/issues/18,0.0,,GitHub Sponsors,baixa,8.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T19:13:09.342433+00:00
350,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Re-architecture: remove legacy dual-storage + syncLegacyFromProduct (pre-subscription hardening),open_source_bounty,GitHub Paid Issues,https://github.com/FitzWarranty26/fitzpatrick-service-tracker/issues/64,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:08.683599+00:00
351,BLOCKED_NOT_EXECUTABLE,0.0,0.0,feat: author an editable per-recipe AI scene brief to direct hero-image generation,open_source_bounty,GitHub Paid Issues,https://github.com/eggman0131/saltV2/issues/522,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:07.174661+00:00
352,BLOCKED_NOT_EXECUTABLE,0.0,0.0,[Checkout-TC_CO_25] - PDF export missing damage charges and partial payment history,open_source_bounty,GitHub Paid Issues,https://github.com/duongthu712/Hotel_booking_project/issues/21,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:05.845331+00:00
353,BLOCKED_LINK_INACTIVE,0.0,0.0,Scraper / crawler expansion & accuracy,open_source_bounty,GitHub Paid Issues,https://github.com/Retriive/campusQ/issues/103,0.0,,GitHub Sponsors,baixa,8.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T19:13:04.848053+00:00
354,BLOCKED_NOT_EXECUTABLE,0.0,0.0,P0: Secure shipping details and label handoff for on-site fulfillment,open_source_bounty,GitHub Paid Issues,https://github.com/ethtri/case-creator-studio/issues/62,0.0,,"Stripe, GitHub Sponsors",média,30.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:04.176149+00:00
355,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Spike: cloud sync design,open_source_bounty,GitHub Paid Issues,https://github.com/MessiasLima/Foliary/issues/155,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:02.984795+00:00
356,BLOCKED_LINK_INACTIVE,0.0,0.0,SM-063: Run the controlled external-alpha campaign and record the public-alpha decision,open_source_bounty,GitHub Paid Issues,https://github.com/napsterX/secondmate/issues/72,0.0,,GitHub Sponsors,baixa,8.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T19:13:02.064448+00:00
357,BLOCKED_NOT_EXECUTABLE,0.0,0.0,CF-71 · Hard-stop a processing job when its game is deleted,open_source_bounty,GitHub Paid Issues,https://github.com/ClipFarmVB/ClipFarm/issues/83,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:01.422014+00:00
358,BLOCKED_NOT_EXECUTABLE,0.0,0.0,🤗 Hugging Face Trending Models 2026-07-16,open_source_bounty,GitHub Paid Issues,https://github.com/THTHDGCS/agents-radar/issues/160,0.0,,GitHub Sponsors,alta,80.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:13:00.090748+00:00
359,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Cache/retain circuit artifacts (in-process + baked) to eliminate per-task compilation,open_source_bounty,GitHub Paid Issues,https://github.com/kunallimaye/lighter-prover/issues/322,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:12:59.116754+00:00
360,BLOCKED_NOT_EXECUTABLE,0.0,0.0,prompts: compress gjc-runtime/routing block; remove maintainer-facing bullets; single home for role-agent blurbs,open_source_bounty,GitHub Paid Issues,https://github.com/Yeachan-Heo/gajae-code/issues/2348,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:12:57.780275+00:00
361,BLOCKED_NOT_EXECUTABLE,0.0,0.0,[BUG] Cowork tab missing after July 1-2 update on Windows 11 Pro — yukonSilver marked as unsupported (regression),open_source_bounty,GitHub Paid Issues,https://github.com/anthropics/claude-code/issues/73484,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:12:56.763185+00:00
362,BLOCKED_NOT_EXECUTABLE,0.0,0.0,SofaScore #946: вывод в прод после PR #950 (пересбор → пилот → онбординг топ-5 → деплой),open_source_bounty,GitHub Paid Issues,https://github.com/sergeykuznetsov1995/data-platform-football/issues/951,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:12:55.563320+00:00
363,BLOCKED_LINK_INACTIVE,0.0,0.0,Need data for how many upfront warrant fees have been paid during filing,open_source_bounty,GitHub Paid Issues,https://github.com/pucardotorg/dristi/issues/5883,0.0,,GitHub Sponsors,baixa,8.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T19:12:54.270859+00:00
364,BLOCKED_NOT_EXECUTABLE,0.0,0.0,[GOVERNANCE LEDGER] Nexus 统一仓库治理、架构收敛与产品优化审计账本,open_source_bounty,GitHub Paid Issues,https://github.com/Maximvonshaft/nexus_helpdesk/issues/722,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:12:53.650314+00:00
365,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Data Entry Specialist Assistant Administrator,paid_development,Remote OK,https://remoteOK.com/remote-jobs/remote-data-entry-specialist-assistant-administrator-relytics-hires-1134772,0.0,,,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:12:52.040027+00:00
366,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Entry Level Administrative Assistant,paid_development,Remote OK,https://remoteOK.com/remote-jobs/remote-entry-level-administrative-assistant-relytics-hires-1134760,0.0,,,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:12:51.507703+00:00
367,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Hiring Operations Team Member BBG etc,paid_development,Remote OK,https://remoteOK.com/remote-jobs/remote-hiring-operations-team-member-bbg-etc-bbg-etc-1134781,0.0,,,média,30.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:12:50.980771+00:00
368,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Social Media Manager,paid_development,Remote OK,https://remoteOK.com/remote-jobs/remote-social-media-manager-aion-1134877,0.0,,,alta,80.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:12:50.468872+00:00
369,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Entry Level Administrative Assistant,paid_development,Remote OK,https://remoteOK.com/remote-jobs/remote-entry-level-administrative-assistant-recruit-lytixs-hires-1134855,0.0,,,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T19:12:49.920966+00:00
370,BLOCKED_LINK_INACTIVE,0.0,0.0,Working Student: QA Automation Engineering (m/f/d),paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/retorio-gmbh/working-student-qa-automation-engineering-munich-344238,0.0,,,média,30.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T19:12:49.427641+00:00
371,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Marketing Working Student (m/f/d),paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/cuju/marketing-working-student-hamburg-105921,0.0,,,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:55:00.490242+00:00
372,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Renovate Dashboard 🤖,open_source_bounty,GitHub Paid Issues,https://github.com/drag0n141/home-ops/issues/30,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:59.936587+00:00
373,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Make Discord bot to announce new Merit bounties,open_source_bounty,GitHub Paid Issues,https://github.com/unitaryfoundation/ucc/issues/571,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:59.099249+00:00
374,BLOCKED_NOT_EXECUTABLE,0.0,0.0,[ONBOARD: 2 RTC] Review an Open PR,open_source_bounty,GitHub Paid Issues,https://github.com/Scottcjn/rustchain-bounties/issues/2782,0.0,,GitHub Sponsors,média,30.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:58.113047+00:00
375,BLOCKED_NOT_EXECUTABLE,0.0,0.0,[Bug bounty] monk.install.run reports runtime ready while monkd is unreachable,open_source_bounty,GitHub Paid Issues,https://github.com/monk-io/monk-plugin/issues/7,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:56.748002+00:00
376,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Solana AI Kit skill bounty — devnet reliability skill ready,open_source_bounty,GitHub Paid Issues,https://github.com/TerraTectra/autotools-hub/issues/70,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,1,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:55.942671+00:00
377,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Customer Service Chat Representative,paid_development,Remote OK,https://remoteOK.com/remote-jobs/remote-customer-service-chat-representative-carestream-advisory-group-1134757,0.0,,,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:55.212390+00:00
378,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Creative,paid_development,Remote OK,https://remoteOK.com/remote-jobs/remote-creative-recruitgo-careers-1134934,0.0,,,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:54.882261+00:00
379,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Entry Level Data Entry Clerk Fully,paid_development,Remote OK,https://remoteOK.com/remote-jobs/remote-entry-level-data-entry-clerk-fully-jobsinmass-com-1134807,0.0,,,média,30.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:54.547596+00:00
380,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Estimating Assistant,paid_development,Remote OK,https://remoteOK.com/remote-jobs/remote-estimating-assistant-recruitgo-careers-1134913,0.0,,,média,30.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:54.214832+00:00
381,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Underwriter,paid_development,Remote OK,https://remoteOK.com/remote-jobs/remote-underwriter-coralisle-group-ltd-1134826,0.0,,,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:53.858685+00:00
382,BLOCKED_LINK_INACTIVE,0.0,0.0,Communications Manager,paid_development,Remotive,https://remotive.com/remote-jobs/communications/communications-manager-2090985,0.0,,,média,30.0,alto,UNKNOWN_REVIEW_REQUIRED,open to less experienced candidates who can demonstrate exceptional writing and judgment,0,0,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T18:54:53.486447+00:00
383,BLOCKED_LINK_INACTIVE,0.0,0.0,Full Stack Platform Engineer (m/f/d),paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/nomadic-gmbh/full-stack-platform-engineer-munich-39238,0.0,,,alta,80.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T18:54:53.131143+00:00
384,BLOCKED_LINK_INACTIVE,0.0,0.0,Robotics / Embedded Software Engineer (m/f/d),paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/nomadic-gmbh/robotics-embedded-software-engineer-munich-21807,0.0,,,média,30.0,alto,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T18:54:52.238633+00:00
385,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Senior Producer New Platforms - Fully Remote,paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/softgames/senior-producer-new-platforms-fully-remote-berlin-3554,0.0,,,alta,80.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:51.280566+00:00
386,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Project: Maximo Start Center Standardization,open_source_bounty,GitHub Paid Issues,https://github.com/cityofaustin/atd-data-tech/issues/17913,0.0,,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:50.504897+00:00
387,BLOCKED_NOT_EXECUTABLE,0.0,0.0,Virtual Executive Assistant,paid_development,Remote OK,https://remoteOK.com/remote-jobs/remote-virtual-executive-assistant-relytics-hires-1134768,0.0,,,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-08-27T18:54:49.481488+00:00
