"task_title","url","reward","currency","payment_type","source","status"
"feat(detector): vocal-gate calibration tooling (sweep + validation) (#510)","https://github.com/doxazo-net/canticle/pull/512","","unknown","unknown","GitHub","discovered"
"Write unit tests for UserService and TaskService","https://github.com/mehrzadmh/taskmanager/issues/2","","unknown","unknown","GitHub","discovered"
"docs: add comprehensive framework audit report","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49462","","unknown","unknown","GitHub","discovered"
"test: issue-claim workflow verification (please ignore)","https://github.com/OpenAgentHQ/modeldock/issues/6","","unknown","unknown","GitHub","discovered"
"docs: add comprehensive framework audit report","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49462","","unknown","unknown","GitHub","discovered"
"BUG-742 P0: HMM Evolution batch worker ignores candidate_concurrency and reloads shared inputs per evaluation","https://github.com/licong01-cloud/AIstock/issues/2394","","unknown","unknown","GitHub","discovered"
"[Issue]: v2.3.3 — ""Choose resolution from character count"" has no effect","https://github.com/Pasta-Devs/Marinara-Engine/issues/3758","","unknown","unknown","GitHub","discovered"
"extension: shipped manifest declares 3 host_permissions the prod build never uses (HF, jsDelivr)","https://github.com/kimtos-labs/kimtos-core/issues/664","","unknown","unknown","GitHub","discovered"
"security: guest support token keeps working after its conversation is attached to an account (IDOR)","https://github.com/kimtos-labs/kimtos-core/issues/663","","unknown","unknown","GitHub","discovered"
"Scores: cancel fences grow unbounded for process lifetime (tier_row_run_registry)","https://github.com/SteveDraper/Planets-Console/issues/245","","unknown","unknown","GitHub","discovered"
"billing: Dodo first-payment grant depends on unverified metadata.userId on subscription webhooks","https://github.com/kimtos-labs/kimtos-core/issues/662","","unknown","unknown","GitHub","discovered"
"billing: DODO_ENVIRONMENT defaults to test_mode — prod can silently take no real money","https://github.com/kimtos-labs/kimtos-core/issues/661","","unknown","unknown","GitHub","discovered"
"Every gh IOException is reported as NOT INSTALLED, and process output goes through fragile locale String decoding","https://github.com/coghex/kanban/issues/42","","unknown","unknown","GitHub","discovered"
"security: rate limiting collapses to a single global bucket (trust proxy off)","https://github.com/kimtos-labs/kimtos-core/issues/660","","unknown","unknown","GitHub","discovered"
"BUG: WinUI AddTurnAsync 的 session 回退路径在 sessionId 失效时静默丢消息","https://github.com/ryanloee/VaultPilot/issues/3046","","unknown","unknown","GitHub","discovered"
"from_utf8_unchecked on non-UTF-8 network interface names","https://github.com/GuillaumeGomez/sysinfo/issues/1704","","unknown","unknown","GitHub","discovered"
"create_chat-created chats: multi-chat pill is non-responsive","https://github.com/microsoft/vscode/issues/326392","","unknown","unknown","GitHub","discovered"
"RealChute fixes and tests","https://github.com/krpc/krpc/pull/960","","unknown","unknown","GitHub","discovered"
"Music Slider not working in canary","https://github.com/Quaver/Quaver/issues/4820","","unknown","unknown","GitHub","discovered"
"fix(gifts): received sticker overlaps the hover edit control on gift cards — move to bottom-right of image","https://github.com/MartinoPolo/prejemesi/issues/184","","unknown","unknown","GitHub","discovered"
"BUG: Unwanted entities when running Cross-Reference","https://github.com/openaleph/openaleph/issues/116","","unknown","unknown","GitHub","discovered"
"fix(ui): Stop doesn't abort in-flight chat generation — cancel only observed at step boundaries","https://github.com/amd/gaia/issues/2157","","unknown","unknown","GitHub","discovered"
"GraphQL string variables passed with gh -F typed coercion — all-numeric owner or repo names break every refresh","https://github.com/coghex/kanban/issues/41","","unknown","unknown","GitHub","discovered"
"fix(accountapp) ensure a trailing slash is defined in APP_URL","https://github.com/jenkins-infra/helm-charts/pull/1997","","unknown","unknown","GitHub","discovered"
"[Bugfix][Parser] Ignore trailing text in Mistral v11 tool args","https://github.com/vllm-project/vllm/pull/48976","","unknown","unknown","GitHub","discovered"
"Refactoring and modularization","https://github.com/xavier-arosemena/roo-plus/issues/30","","unknown","unknown","GitHub","discovered"
"feat: melhora performance do mural, catálogo de destinatários e wizards de comunicados","https://github.com/Portal-Conecta/frontend/pull/423","","unknown","unknown","GitHub","discovered"
"Do OAuth for Todoist API Calls","https://github.com/hasii2011/gitissue2todoist/issues/14","","unknown","unknown","GitHub","discovered"
"[Feature Request]: Export/Import option for ""Hide videos from channels""","https://github.com/FreeTubeApp/FreeTube/issues/9448","","unknown","unknown","GitHub","discovered"
"feat(framework): ""New activity"" notifications category (#627)","https://github.com/gemstack-land/gemstack/pull/670","","unknown","unknown","GitHub","discovered"
"Refactor DSCensor Schema","https://github.com/legumeinfo/microservices/issues/1119","","unknown","unknown","GitHub","discovered"
"Feature Request: Implement Action-Oriented Notifications (RFC)","https://github.com/WAF2p/pass/issues/39","","unknown","unknown","GitHub","discovered"
"[SM] Revisar apresentações com professores e tech leads","https://github.com/Portal-Conecta/gestao-sm/issues/23","","unknown","unknown","GitHub","discovered"
"Update npm packages","https://github.com/highfivve/moli-ad-tag/pull/557","","unknown","unknown","GitHub","discovered"
"feat(gifts): move edited-after-share indicator to a muted line in gift detail — remove card info icon","https://github.com/MartinoPolo/prejemesi/issues/185","","unknown","unknown","GitHub","discovered"
"[dev0.1.X] Evaluate Whether Vuestic UI Is Worth Adopting Across CopyMyPage","https://github.com/marc-heinrich/CopyMyPage/issues/122","","unknown","unknown","GitHub","discovered"
"[Feature Request] Add Windows Arm build","https://github.com/aandrew-me/ytDownloader/issues/472","","unknown","unknown","GitHub","discovered"
"[logging] App server request logging — adopt the shared logger","https://github.com/larryosborn/orleans/issues/52","","unknown","unknown","GitHub","discovered"
"Modernise layout with bslib cards, layout_sidebar and value_box","https://github.com/pinin4fjords/shinyngs/pull/165","","unknown","unknown","GitHub","discovered"
"Webapp login and shop","https://github.com/Solracs/vibecoding-security-benchmark/pull/9","","unknown","unknown","GitHub","discovered"
"Abstract and description management","https://github.com/kbss-cvut/termit-ui/issues/826","","unknown","unknown","GitHub","discovered"
"fix(web): count only focused, open todos in the nav badge","https://github.com/silverbucket/inbox-rs/pull/185","","unknown","unknown","GitHub","discovered"
