truth_rank,truth_status,truth_reason,live_state,comments,open_competing_prs,reward_basis,source_validation,rank,queue_status,verification_score,priority_score,title,category,source,url,reward_amount,reward_currency,payment_method,difficulty,estimated_hours,risk_level,country_eligibility,country_restrictions,kyc_required,human_approval_required,verification_status,recommended_action,recommendation_reason,verified_at,eligibility_status
42,ACTIVE_WORK_CONFIRMATION_REQUIRED,Há PR/trabalho ativo ou responsável atribuído; confirmar disponibilidade antes de desenvolver.,open,12,0,reported_amount_unverified,unverified,35,ELIGIBILITY_REVIEW_REQUIRED,71.6,79.6,[Bounty] [3 USDC][Open Competition V2] Map the shortest discovery path for eight AI-agent,ai_bounty,AI Agent Bounties,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/834,3.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,1,approval_required,Confirmar com o mantenedor se novas submissões ainda são aceitas antes de qualquer trabalho.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-26T14:01:47.493769+00:00,
43,LIVE_CHECK_RETRY_REQUIRED,Falha temporária na validação ao vivo: HTTPError.,unknown,0,,reported_amount_unverified,unverified,36,ELIGIBILITY_REVIEW_REQUIRED,71.45,79.48,🎯 Bounty Alert: 30 New Opportunities — 2026-07-14 10:46 UTC,ai_bounty,AI Agent Bounties,https://github.com/greyw0rks/bountyscout/issues/256,28.4,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:08.542812+00:00,
44,BLOCKED_UNFUNDED,O próprio protocolo informa que a recompensa ainda não foi financiada.,open,1,,reported_amount_unverified,unverified,37,ELIGIBILITY_REVIEW_REQUIRED,71.45,79.48,bounty: $25 USDC — add-only docs/LIVE_LEDGER.md,ai_integration,MCP Paid Opportunities,https://github.com/kwizzlesurp10-ctrl/x402-mcp/issues/496,25.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-26T16:35:47.581817+00:00,
45,BLOCKED_UNFUNDED,O próprio protocolo informa que a recompensa ainda não foi financiada.,open,1,,reported_amount_unverified,unverified,38,ELIGIBILITY_REVIEW_REQUIRED,71.45,79.47,bounty: $15 USDC — add-only docs/BAZAAR_AUDIT.md,ai_integration,MCP Paid Opportunities,https://github.com/kwizzlesurp10-ctrl/x402-mcp/issues/495,15.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T16:35:48.376536+00:00,
46,BLOCKED_UNFUNDED,O próprio protocolo informa que a recompensa ainda não foi financiada.,open,1,,reported_amount_unverified,unverified,39,ELIGIBILITY_REVIEW_REQUIRED,71.45,79.45,bounty: $5 USDC — add-only docs/TOOL_LEGIBILITY.md,ai_integration,MCP Paid Opportunities,https://github.com/kwizzlesurp10-ctrl/x402-mcp/issues/494,5.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T16:35:49.248775+00:00,
47,BLOCKED_HIGH_COMPETITION,"Há 15 PRs concorrentes relacionados (incluindo #117, #114, #107, #103, #96); não investir trabalho nesta oportunidade saturada.",open,40,15,reported_amount_unverified,unverified,40,ELIGIBILITY_REVIEW_REQUIRED,71.45,79.45,[AGENT-TASK] Content-generation agent — auto-posts from bounty outcomes,ai_bounty,AI Agent Bounties,https://github.com/Nexussyn/ai-growth-engine/issues/5,5.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,Não iniciar. Arquivar e priorizar oportunidade com concorrência baixa.,"Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T14:01:50.015441+00:00,
48,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,14,,reported_amount_unverified,unverified,41,ELIGIBILITY_REVIEW_REQUIRED,70.9,78.9,[UNFUNDED: 0/0.11 USDC] Complete a fresh earning-loop friction canary,open_source_bounty,GitHub Paid Issues,https://github.com/NSPG13/agent-bounties/issues/291,0.1,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility 1,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-27T12:27:28.311557+00:00,
49,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,13,,reported_amount_unverified,unverified,42,ELIGIBILITY_REVIEW_REQUIRED,70.64,78.65,[Bug] fix.py is a stale hardcoded stub,open_source_bounty,GitHub Bounty Issues,https://github.com/Hazyshades/Sendly-Test-Repo/issues/82,10.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T14:12:18.726042+00:00,
50,BLOCKED_REWARD_CONTEXT_FALSE_POSITIVE,O valor encontrado não aparece em contexto explícito de prêmio/pagamento.,open,7,,reported_amount_unverified,unverified,43,ELIGIBILITY_REVIEW_REQUIRED,70.1,78.16,Ops dashboard,ai_integration,MCP Paid Opportunities,https://github.com/ModelMirrorAI/fedcourtsai/issues/630,55.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:27.350906+00:00,
51,BLOCKED_HIGH_COMPETITION,"Há 3 PRs concorrentes relacionados (incluindo #743, #689, #666); não investir trabalho nesta oportunidade saturada.",open,161,3,reported_amount_unverified,unverified,44,ELIGIBILITY_REVIEW_REQUIRED,70.06,78.14,[BOUNTY $80] Notifications — 统一通知中心 (Gotify + Apprise),open_source_bounty,GitHub Bounty Issues,https://github.com/illbnm/homelab-stack/issues/13,80.0,USD,"USDT, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,Não iniciar. Arquivar e priorizar oportunidade com concorrência baixa.,"Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T14:02:16.715513+00:00,
52,ACTIVE_WORK_CONFIRMATION_REQUIRED,Há PR/trabalho ativo ou responsável atribuído; confirmar disponibilidade antes de desenvolver.,open,40,0,reported_amount_unverified,unverified,4,ALGORA_STAGED,78.0,78.0,dokploy#1413 Organisation and Teams Management,coding_bounty,Algora Open Bounties,https://github.com/Dokploy/dokploy/issues/1413,100.0,USD,Algora,,,baixo,UNKNOWN_REVIEW_REQUIRED,,1,1,algora_comment_validation,Confirmar com o mantenedor se novas submissões ainda são aceitas antes de qualquer trabalho.,Official Algora evidence is stored in GitHub comments.,,
53,BLOCKED_HIGH_COMPETITION,"Há 16 PRs concorrentes relacionados (incluindo #638, #635, #634, #632, #622); não investir trabalho nesta oportunidade saturada.",open,46,16,reported_amount_unverified,unverified,25,ALGORA_STAGED,78.0,78.0,EdgeChains#279 BOUNTY: add support for Google Palm2 API in javascript/typescript,coding_bounty,Algora Open Bounties,https://github.com/arakoodev/EdgeChains/issues/279,25.0,USD,Algora,,,baixo,UNKNOWN_REVIEW_REQUIRED,,1,1,algora_comment_validation,Não iniciar. Arquivar e priorizar oportunidade com concorrência baixa.,Official Algora evidence is stored in GitHub comments.,,
54,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,0,,reported_amount_unverified,unverified,45,ELIGIBILITY_REVIEW_REQUIRED,69.83,77.84,Automatic authoritative external-billing Subscription adoption (CODEX...,paid_development,GitHub Paid Issues,https://github.com/jaywedgeworth22/api-usage-monitor/issues/285,6.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:30.803994+00:00,
55,BLOCKED_HIGH_COMPETITION,"Há 5 PRs concorrentes relacionados (incluindo #1979, #1870, #239, #133, #132); não investir trabalho nesta oportunidade saturada.",open,39,5,reported_amount_unverified,unverified,46,ELIGIBILITY_REVIEW_REQUIRED,68.38,76.38,[Bounty: 3 ETH] implement Goose class in SuperCollider,open_source_bounty,GitHub Bounty Issues,https://github.com/dwebagents/AgentPipe/issues/131,3.0,ETH,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,Não iniciar. Arquivar e priorizar oportunidade com concorrência baixa.,"Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T17:32:45.129568+00:00,
56,BLOCKED_HIGH_COMPETITION,"Há 46 PRs concorrentes relacionados (incluindo #645, #644, #637, #634, #633); não investir trabalho nesta oportunidade saturada.",open,63,46,reported_amount_unverified,unverified,26,ALGORA_STAGED,74.0,74.0,EdgeChains#273 BOUNTY: add support for qdrant vector database in javascript sdk,coding_bounty,Algora Open Bounties,https://github.com/arakoodev/EdgeChains/issues/273,30.0,USD,Algora,,,baixo,UNKNOWN_REVIEW_REQUIRED,,1,1,algora_comment_validation,Não iniciar. Arquivar e priorizar oportunidade com concorrência baixa.,Official Algora evidence is stored in GitHub comments.,,
57,SOURCE_REVIEW_REQUIRED,Fonte externa ainda exige validação específica da plataforma.,external_source,0,,reported_amount_unverified,unverified,47,ELIGIBILITY_REVIEW_REQUIRED,69.36,72.36,Sales Director - Strategic Accounts (f/m/d),paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/apaleo/sales-director-strategic-accounts-munchen-359719,1.0,EUR,,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-27T12:32:14.407589+00:00,
58,SOURCE_REVIEW_REQUIRED,Fonte externa ainda exige validação específica da plataforma.,external_source,0,,reported_amount_unverified,unverified,48,ELIGIBILITY_REVIEW_REQUIRED,69.36,72.36,Sales Director - Strategic Accounts (f/m/d),paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/apaleo/sales-director-strategic-accounts-berlin-154329,1.0,EUR,,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-27T12:32:13.530462+00:00,
59,BLOCKED_HIGH_COMPETITION,"Há 33 PRs concorrentes relacionados (incluindo #54, #53, #51, #50, #49); não investir trabalho nesta oportunidade saturada.",open,25,33,reported_amount_unverified,unverified,45,ALGORA_STAGED,72.0,72.0,pgstrap#2 Use pglite so that postgres isn't required when generating types,coding_bounty,Algora Open Bounties,https://github.com/seveibar/pgstrap/issues/2,30.0,USD,Algora,,,baixo,UNKNOWN_REVIEW_REQUIRED,,1,1,algora_comment_validation,Não iniciar. Arquivar e priorizar oportunidade com concorrência baixa.,Official Algora evidence is stored in GitHub comments.,,
60,STALE_LOCKED_CONFIRMATION_REQUIRED,Issue bloqueada para comentários e sem atualização há mais de 180 dias; confirmar se a recompensa continua executável.,open,3,,reported_amount_unverified,unverified,46,ALGORA_STAGED,70.0,70.0,autorouting#92 Multilayer Ijump: Remove wild trace jumps,coding_bounty,Algora Open Bounties,https://github.com/tscircuit/autorouting/issues/92,50.0,USD,Algora,,,baixo,UNKNOWN_REVIEW_REQUIRED,,1,1,algora_comment_validation,Review live bounty comments,Official Algora evidence is stored in GitHub comments.,,
